2024-12-04 20:30:06 status installed ca-certificates:all 20230311
2024-12-04 20:30:06 status triggers-pending ca-certificates:all 20230311
2024-12-04 20:30:06 trigproc libc-bin:amd64 2.36-9+deb12u9 <none>
2024-12-04 20:30:06 status half-configured libc-bin:amd64 2.36-9+deb12u9
2024-12-04 20:30:06 status installed libc-bin:amd64 2.36-9+deb12u9
2024-12-04 20:30:06 trigproc ca-certificates:all 20230311 <none>
2024-12-04 20:30:06 status half-configured ca-certificates:all 20230311
2024-12-04 20:30:07 status installed ca-certificates:all 20230311
2024-12-04 20:30:11 startup archives unpack
2024-12-04 20:30:11 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-12-04 20:30:11 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-12-04 20:30:11 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-12-04 20:30:11 install libgdbm6:amd64 <none> 1.23-3
2024-12-04 20:30:11 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2024-12-04 20:30:11 status half-installed libgdbm6:amd64 1.23-3
2024-12-04 20:30:11 status unpacked libgdbm6:amd64 1.23-3
2024-12-04 20:30:11 install libgdbm-compat4:amd64 <none> 1.23-3
2024-12-04 20:30:11 status half-installed libgdbm-compat4:amd64 1.23-3
2024-12-04 20:30:11 status unpacked libgdbm-compat4:amd64 1.23-3
2024-12-04 20:30:11 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-12-04 20:30:11 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-12-04 20:30:12 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-12-04 20:30:12 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-12-04 20:30:12 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-12-04 20:30:12 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-12-04 20:30:12 install readline-common:all <none> 8.2-1.3
2024-12-04 20:30:12 status half-installed readline-common:all 8.2-1.3
2024-12-04 20:30:12 status unpacked readline-common:all 8.2-1.3
2024-12-04 20:30:12 install bzip2:amd64 <none> 1.0.8-5+b1
2024-12-04 20:30:12 status half-installed bzip2:amd64 1.0.8-5+b1
2024-12-04 20:30:12 status unpacked bzip2:amd64 1.0.8-5+b1
2024-12-04 20:30:12 install libpsl5:amd64 <none> 0.21.2-1
2024-12-04 20:30:12 status half-installed libpsl5:amd64 0.21.2-1
2024-12-04 20:30:12 status unpacked libpsl5:amd64 0.21.2-1
2024-12-04 20:30:12 install wget:amd64 <none> 1.21.3-1+b2
2024-12-04 20:30:12 status half-installed wget:amd64 1.21.3-1+b2
2024-12-04 20:30:12 status unpacked wget:amd64 1.21.3-1+b2
2024-12-04 20:30:12 install xz-utils:amd64 <none> 5.4.1-0.2
2024-12-04 20:30:12 status half-installed xz-utils:amd64 5.4.1-0.2
2024-12-04 20:30:12 status unpacked xz-utils:amd64 5.4.1-0.2
2024-12-04 20:30:12 install binutils-common:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed binutils-common:amd64 2.40-2
2024-12-04 20:30:12 status unpacked binutils-common:amd64 2.40-2
2024-12-04 20:30:12 install libbinutils:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed libbinutils:amd64 2.40-2
2024-12-04 20:30:12 status unpacked libbinutils:amd64 2.40-2
2024-12-04 20:30:12 install libctf-nobfd0:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed libctf-nobfd0:amd64 2.40-2
2024-12-04 20:30:12 status unpacked libctf-nobfd0:amd64 2.40-2
2024-12-04 20:30:12 install libctf0:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed libctf0:amd64 2.40-2
2024-12-04 20:30:12 status unpacked libctf0:amd64 2.40-2
2024-12-04 20:30:12 install libgprofng0:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed libgprofng0:amd64 2.40-2
2024-12-04 20:30:12 status unpacked libgprofng0:amd64 2.40-2
2024-12-04 20:30:12 install libjansson4:amd64 <none> 2.14-2
2024-12-04 20:30:12 status half-installed libjansson4:amd64 2.14-2
2024-12-04 20:30:12 status unpacked libjansson4:amd64 2.14-2
2024-12-04 20:30:12 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2024-12-04 20:30:12 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2024-12-04 20:30:12 install binutils:amd64 <none> 2.40-2
2024-12-04 20:30:12 status half-installed binutils:amd64 2.40-2
2024-12-04 20:30:12 status unpacked binutils:amd64 2.40-2
2024-12-04 20:30:12 install libisl23:amd64 <none> 0.25-1.1
2024-12-04 20:30:12 status half-installed libisl23:amd64 0.25-1.1
2024-12-04 20:30:12 status unpacked libisl23:amd64 0.25-1.1
2024-12-04 20:30:12 install libmpfr6:amd64 <none> 4.2.0-1
2024-12-04 20:30:12 status half-installed libmpfr6:amd64 4.2.0-1
2024-12-04 20:30:13 status unpacked libmpfr6:amd64 4.2.0-1
2024-12-04 20:30:13 install libmpc3:amd64 <none> 1.3.1-1
2024-12-04 20:30:13 status half-installed libmpc3:amd64 1.3.1-1
2024-12-04 20:30:13 status unpacked libmpc3:amd64 1.3.1-1
2024-12-04 20:30:13 install cpp-12:amd64 <none> 12.2.0-14
2024-12-04 20:30:13 status half-installed cpp-12:amd64 12.2.0-14
2024-12-04 20:30:13 status unpacked cpp-12:amd64 12.2.0-14
2024-12-04 20:30:13 install cpp:amd64 <none> 4:12.2.0-3
2024-12-04 20:30:13 status half-installed cpp:amd64 4:12.2.0-3
2024-12-04 20:30:13 status unpacked cpp:amd64 4:12.2.0-3
2024-12-04 20:30:13 install libassuan0:amd64 <none> 2.5.5-5
2024-12-04 20:30:13 status half-installed libassuan0:amd64 2.5.5-5
2024-12-04 20:30:13 status unpacked libassuan0:amd64 2.5.5-5
2024-12-04 20:30:13 install libreadline8:amd64 <none> 8.2-1.3
2024-12-04 20:30:13 status half-installed libreadline8:amd64 8.2-1.3
2024-12-04 20:30:13 status unpacked libreadline8:amd64 8.2-1.3
2024-12-04 20:30:13 install gpgconf:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:13 status half-installed gpgconf:amd64 2.2.40-1.1
2024-12-04 20:30:13 status unpacked gpgconf:amd64 2.2.40-1.1
2024-12-04 20:30:13 install libksba8:amd64 <none> 1.6.3-2
2024-12-04 20:30:13 status half-installed libksba8:amd64 1.6.3-2
2024-12-04 20:30:13 status unpacked libksba8:amd64 1.6.3-2
2024-12-04 20:30:13 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-12-04 20:30:13 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-12-04 20:30:13 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-12-04 20:30:13 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-12-04 20:30:13 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-12-04 20:30:13 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-12-04 20:30:13 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-12-04 20:30:13 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-12-04 20:30:13 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-12-04 20:30:13 install libnpth0:amd64 <none> 1.6-3
2024-12-04 20:30:13 status half-installed libnpth0:amd64 1.6-3
2024-12-04 20:30:13 status unpacked libnpth0:amd64 1.6-3
2024-12-04 20:30:13 install dirmngr:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:13 status half-installed dirmngr:amd64 2.2.40-1.1
2024-12-04 20:30:13 status unpacked dirmngr:amd64 2.2.40-1.1
2024-12-04 20:30:13 install libdpkg-perl:all <none> 1.21.22
2024-12-04 20:30:13 status half-installed libdpkg-perl:all 1.21.22
2024-12-04 20:30:13 status unpacked libdpkg-perl:all 1.21.22
2024-12-04 20:30:13 install patch:amd64 <none> 2.7.6-7
2024-12-04 20:30:13 status half-installed patch:amd64 2.7.6-7
2024-12-04 20:30:13 status unpacked patch:amd64 2.7.6-7
2024-12-04 20:30:13 install make:amd64 <none> 4.3-4.1
2024-12-04 20:30:13 status half-installed make:amd64 4.3-4.1
